Color,Color Name,HexCode,RGB,R,G,B
,Salmon,#FA8072,"rgb(250, 128, 114)",250,128,114
,Red,#FF0000,"rgb(255, 0, 0)",255,0,0
,FireBrick,#B22222,"rgb(178, 34, 34)",178,34,34
,DarkRed,#8B0000,"rgb(139, 0, 0)",139,0,0
,Pink,#FFC0CB,"rgb(255, 192, 203)",255,192,203
,Coral,#FF7F50,"rgb(255, 127, 80)",255,127,80
,Orange,#FFA500,"rgb(255, 165, 0)",255,165,0
,Gold,#FFD700,"rgb(255, 215, 0)",255,215,0
,Yellow,#FFFF00,"rgb(255, 255, 0)",255,255,0
,LightYellow,#FFFFE0,"rgb(255, 255, 224)",255,255,224
,PeachPuff,#FFDAB9,"rgb(255, 218, 185)",255,218,185
,Khaki,#F0E68C,"rgb(240, 230, 140)",240,230,140
,Lavender,#E6E6FA,"rgb(230, 230, 250)",230,230,250
,Plum,#DDA0DD,"rgb(221, 160, 221)",221,160,221
,Violet,#EE82EE,"rgb(238, 130, 238)",238,130,238
,Fuchsia,#FF00FF,"rgb(255, 0, 255)",255,0,255
,DarkViolet,#9400D3,"rgb(148, 0, 211)",148,0,211
,Purple,#800080,"rgb(128, 0, 128)",128,0,128
,Indigo,#4B0082,"rgb(75, 0, 130)",75,0,130
,Lime,#00FF00,"rgb(0, 255, 0)",0,255,0
,LimeGreen,#32CD32,"rgb(50, 205, 50)",50,205,50
,LightGreen,#90EE90,"rgb(144, 238, 144)",144,238,144
,ForestGreen,#228B22,"rgb(34, 139, 34)",34,139,34
,Green,#008000,"rgb(0, 128, 0)",0,128,0
,DarkGreen,#006400,"rgb(0, 100, 0)",0,100,0
,Olive,#808000,"rgb(128, 128, 0)",128,128,0
,Teal,#008080,"rgb(0, 128, 128)",0,128,128
,Cyan,#00FFFF,"rgb(0, 255, 255)",0,255,255
,Aquamarine,#7FFFD4,"rgb(127, 255, 212)",127,255,212
,Turquoise,#40E0D0,"rgb(64, 224, 208)",64,224,208
,SteelBlue,#4682B4,"rgb(70, 130, 180)",70,130,180
,Blue,#0000FF,"rgb(0, 0, 255)",0,0,255
,DarkBlue,#00008B,"rgb(0, 0, 139)",0,0,139
,Navy,#000080,"rgb(0, 0, 128)",0,0,128
,MidnightBlue,#191970,"rgb(25, 25, 112)",25,25,112
,Bisque,#FFE4C4,"rgb(255, 228, 196)",255,228,196
,Wheat,#F5DEB3,"rgb(245, 222, 179)",245,222,179
,Goldenrod,#DAA520,"rgb(218, 165, 32)",218,165,32
,Brown,#A52A2A,"rgb(165, 42, 42)",165,42,42
,Maroon,#800000,"rgb(128, 0, 0)",128,0,0
,White,#FFFFFF,"rgb(255, 255, 255)",255,255,255
,Beige,#F5F5DC,"rgb(245, 245, 220)",245,245,220
,Linen,#FAF0E6,"rgb(250, 240, 230)",250,240,230
,LightGray,#D3D3D3,"rgb(211, 211, 211)",211,211,211
,Silver,#C0C0C0,"rgb(192, 192, 192)",192,192,192
,Gray,#808080,"rgb(128, 128, 128)",128,128,128
,Black,#000000,"rgb(0, 0, 0)",0,0,0
